"stock_code","description","quantity_sold","quantity_returned","return_rate_percentage"
"20703","BLUE PADDED SOFT MOBILE","1","7","700.00"
"22034","ROBIN CHRISTMAS CARD","3","12","400.00"
"72815","3 WICK CHRISTMAS BRIAR CANDLE ","2","4","200.00"
"79323P","PINK CHERRY LIGHTS","4","8","200.00"
"22769","CHALKBOARD KITCHEN ORGANISER","6","10","167.00"
"35400","WOODEN BOX ADVENT CALENDAR ","10","16","160.00"
"84347","ROTATING SILVER ANGELS T-LIGHT HLDR","7907","9367","118.00"
"84750A","PINK SMALL GLASS CAKE STAND","24","27","113.00"
"90168","2 DAISIES HAIR COMB","6","6","100.00"
"79323B","BLACK CHERRY LIGHTS","8","8","100.00"
"90169","DAISY HAIR COMB","6","6","100.00"
"90059D","DIAMANTE HAIR GRIP PACK/2 PERIDOT","6","6","100.00"
"21667","GLASS CAKE COVER AND PLATE","2","2","100.00"
"90059A","DIAMANTE HAIR GRIP PACK/2 CRYSTAL","6","6","100.00"
"90182C","BLACK 3 BEAD DROP EARRINGS","6","6","100.00"
"90118","PINK DAISY BAG CHARM","6","6","100.00"
"85047","WHITE BEADED GARLAND STRING 20LIGHT","3","3","100.00"
"90177A","CLASSIC DIAMANTE EARRINGS JET","6","6","100.00"
"23630","SET 10 CARDS HANGING BAUBLES 17080","1","1","100.00"
"90177E","DROP DIAMANTE EARRINGS GREEN","6","6","100.00"
"21655","HANGING RIDGE GLASS T-LIGHT HOLDER","36","36","100.00"
"90202A","PURPLE ENAMEL FLOWER HAIR TIE","6","6","100.00"
"23843","PAPER CRAFT , LITTLE BIRDIE","80995","80995","100.00"
"23166","MEDIUM CERAMIC TOP STORAGE JAR","77916","74494","96.00"
"85232B","SET OF 3 BABUSHKA STACKING TINS","268","255","95.00"
"90202B","WHITE ENAMEL FLOWER HAIR TIE","7","6","86.00"
"90202C","GREEN ENAMEL FLOWER HAIR TIE","7","6","86.00"
"84798A","PINK FOXGLOVE ARTIIFCIAL FLOWER","14","12","86.00"
"23113","PANTRY CHOPPING BOARD","1138","946","83.00"
"90185C","BLACK DIAMANTE EXPANDABLE RING","21","16","76.00"
"90059C","DIAMANTE HAIR GRIP PACK/2 MONTANA","8","6","75.00"
"20821","GOLDIE LOOKING MIRROR","16","12","75.00"
"90174","BUTTERFLY HAIR BAND","16","12","75.00"
"21777","RECIPE BOX WITH METAL HEART","7","5","71.00"
"85023B","EAU DE NILE JEWELLED PHOTOFRAME","104","73","70.00"
"90185B","AMETHYST DIAMANTE EXPANDABLE RING","13","9","69.00"
"84840","SWEETHEART CARRY-ALL BASKET","3","2","67.00"
